"","SEnd.1A.02.WMS","SEnd.1B.05.WMS","SEnd.1C.04.WMS","SEnd.1C.06.WMS","SEnd.1D.07.WMS","SEnd.2C.04.WMS","SEnd.2C.06.WMS","SEnd.2D.05.WMS","SEnd.2D.07.WMS","SEnd.2D.09.WMS","SSt1.1A.COR","SSt1.1A.GEL","SSt1.WMS","SSt2.1B.COR","SSt2.1B.GEL","SSt2.WMS","SSt3.1C.COR","SSt3.1C.GEL","SSt3.WMS","SSt4.1D.COR","SSt4.1D.GEL","SSt4.WMS","SSt5.2C.COR","SSt5.2C.GEL","SSt5.WMS","SSt6.2D.COR","SSt6.2D.GEL","SSt6.WMS"
"ASV938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00882538348392519,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV585",0.0153846153846154,0,0,0,0,0,0.00701016473887136,0,0,0,0,0,0,0,0,0.00199878334926566,0,0,0,0,0,0,0,0,0,0,0,0
"ASV721",0,0,0,0,0,0,0,0,0,0,0,0,0.00278093793452155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439588688946015,0,0,0,0,0,0,0,0,0,0
"ASV259",0,0,0,0,0,0.0359445519019987,0,0.00320646870207723,0,0.0125763564498742,0.0236171535114978,0.0654761904761905,0.00379218809252939,0.0152611705475142,0,0,0.0407514450867052,0,0,0.0345380096136728,0.00340632603406326,0,0.013640730067243,0.0378280735309744,0,0.0212990299451708,0.0158189827793352,0
"ASV1035",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00409062303335431,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV587",0,0,0,0,0,0,0,0,0,0,0.0135177128651336,0,0,0,0,0,0,0.00539845758354756,0,0,0,0,0.0205571565802113,0.0129635532887047,0,0.00843525938422606,0,0
"ASV161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670603121045972,0,0
"ASV836",0,0,0.00486720981906677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV18",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959723096286973,0,0,0,0,0,0.035072102545843,0,0,0,0,0,0.0352172079291438,0,0
"ASV207",0,0,0,0,0,0,0,0,0,0,0,0.0246362433862434,0,0,0,0,0,0,0,0,0,0,0,0.0400595048347678,0,0,0,0
"ASV143",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064745437079731,0,0,0,0,0
"ASV1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008110300081103,0,0,0,0,0,0,0
"ASV139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265895953757225,0,0,0,0.00437956204379562,0,0,0.0130698119222187,0,0,0,0
"ASV533",0,0,0.0140725849116496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163573085846868,0,0,0
"ASV294",0.045978021978022,0,0,0,0,0,0,0,0.0236262994464696,0,0,0,0.0139046896726078,0,0,0.0350221604240897,0,0,0,0,0,0,0,0,0.0321345707656613,0,0,0.0364595545134818
"ASV80",0,0,0,0,0.0176159718144451,0,0.0196284612688398,0.0238393977415307,0.0122856757121642,0,0,0,0,0,0,0.0123403145911184,0,0,0.0312137237198504,0,0,0.0178455125700143,0,0,0.00556844547563805,0,0,0.0194607268464244
"ASV350",0,0,0,0,0.0240751614797416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
